,우대,요건,업무
0,"모집부문상세내용공통 자격요건ㆍ 학력 : 무관ㆍ 경력 : 신입/경력데이터인텔리전스팀데이터인텔리전스팀 0명담당업무ㆍ주요업무ㆍ 데이터 서버 관리 및 유지ㆍ 고객사 업무프로세스 분석 및 관련 데이터 수집(엑셀 VBA, 파워쿼리 활용)ㆍ MS POWER BI 활용한 데이터 분석, 모델링 및 VISUALIZATIONㆍ MS POWER FLATFORM 활용 업무 효율화
            ㆍ기타 필수 사항
        우대사항ㆍ컴퓨터/시스템공학, 수학/통계학ㆍ데이터분석전문가(ADP), 데이터분석준전문가(ADsP), 빅데이터 분석기사ㆍ해당직무 인턴경력, 통계분석능숙자, 해당직무 근무경험, 엑셀 고급능력자, 지방근무 가능자","모집부문상세내용공통 자격요건ㆍ 학력 : 무관ㆍ 경력 : 신입/경력데이터인텔리전스팀데이터인텔리전스팀 0명담당업무ㆍ주요업무ㆍ 데이터 서버 관리 및 유지ㆍ 고객사 업무프로세스 분석 및 관련 데이터 수집(엑셀 VBA, 파워쿼리 활용)ㆍ MS POWER BI 활용한 데이터 분석, 모델링 및 VISUALIZATIONㆍ MS POWER FLATFORM 활용 업무 효율화
            ㆍ기타 필수 사항
        우대사항ㆍ컴퓨터/시스템공학, 수학/통계학ㆍ데이터분석전문가(ADP), 데이터분석준전문가(ADsP), 빅데이터 분석기사ㆍ해당직무 인턴경력, 통계분석능숙자, 해당직무 근무경험, 엑셀 고급능력자, 지방근무 가능자","모집부문상세내용공통 자격요건ㆍ 학력 : 무관ㆍ 경력 : 신입/경력데이터인텔리전스팀데이터인텔리전스팀 0명담당업무ㆍ주요업무ㆍ 데이터 서버 관리 및 유지ㆍ 고객사 업무프로세스 분석 및 관련 데이터 수집(엑셀 VBA, 파워쿼리 활용)ㆍ MS POWER BI 활용한 데이터 분석, 모델링 및 VISUALIZATIONㆍ MS POWER FLATFORM 활용 업무 효율화
            ㆍ기타 필수 사항
        우대사항ㆍ컴퓨터/시스템공학, 수학/통계학ㆍ데이터분석전문가(ADP), 데이터분석준전문가(ADsP), 빅데이터 분석기사ㆍ해당직무 인턴경력, 통계분석능숙자, 해당직무 근무경험, 엑셀 고급능력자, 지방근무 가능자"
1,-,-,-
2,-,-,-
3,-,-,-
4,-,-,-
5,"공통 자격요건ㆍ학력 : 학사이상 (졸업예정자 가능)ㆍ경력 : 관련 경력 2~3년 필수ㆍ해외여행에 결격 사유가 없는 자ㆍ다양한 분야에 대한 도전을 좋아하시는 분ㆍ학력 : 대졸 이상 (4년)데이터 분석 및 AI 개발 1명담당업무ㆍ담당업무ㆍ데이터 분석 및 AI 개발ㆍPython 등을 활용한 텍스트 데이터 수집, 분석, 구축 처리ㆍLLM 업무 기획 및 수행ㆍAI 기술 개발에 필요한 언어 자원 구출(Labeling)ㆍ인공지능 R&D 연구 개발 및 국책 과제 지원필요스킬ㆍPython우대사항ㆍIT 계열, 통계학 관련 전공자ㆍMachine Learning/Data Mining 수행 경험","공통 자격요건ㆍ학력 : 학사이상 (졸업예정자 가능)ㆍ경력 : 관련 경력 2~3년 필수ㆍ해외여행에 결격 사유가 없는 자ㆍ다양한 분야에 대한 도전을 좋아하시는 분ㆍ학력 : 대졸 이상 (4년)데이터 분석 및 AI 개발 1명담당업무ㆍ담당업무ㆍ데이터 분석 및 AI 개발ㆍPython 등을 활용한 텍스트 데이터 수집, 분석, 구축 처리ㆍLLM 업무 기획 및 수행ㆍAI 기술 개발에 필요한 언어 자원 구출(Labeling)ㆍ인공지능 R&D 연구 개발 및 국책 과제 지원필요스킬ㆍPython우대사항ㆍIT 계열, 통계학 관련 전공자ㆍMachine Learning/Data Mining 수행 경험","공통 자격요건ㆍ학력 : 학사이상 (졸업예정자 가능)ㆍ경력 : 관련 경력 2~3년 필수ㆍ해외여행에 결격 사유가 없는 자ㆍ다양한 분야에 대한 도전을 좋아하시는 분ㆍ학력 : 대졸 이상 (4년)데이터 분석 및 AI 개발 1명담당업무ㆍ담당업무ㆍ데이터 분석 및 AI 개발ㆍPython 등을 활용한 텍스트 데이터 수집, 분석, 구축 처리ㆍLLM 업무 기획 및 수행ㆍAI 기술 개발에 필요한 언어 자원 구출(Labeling)ㆍ인공지능 R&D 연구 개발 및 국책 과제 지원필요스킬ㆍPython우대사항ㆍIT 계열, 통계학 관련 전공자ㆍMachine Learning/Data Mining 수행 경험"
6,-,-,-
7,-,-,-
8,-,-,-
9,-,-,-
10,-,-,-
11,-,-,-
12,-,-,-
13,"모집부문상세내용공통 자격요건ㆍ학력 : 대졸 이상 (4년)지능화 감시체계 사업[ 업무 안내 ]ㆍ데이터셋 구축 사업 제반사항 관리 업무(PMO)ㆍ데이터 및 프로젝트 산출물 작성 및 관리ㆍ프로젝트 일정 및 인력 관리ㆍ데이터 수집 및 가공 사업 운영 및 모니터링ㆍ일부 라벨링 작업 및 검수 백업  [ 업무 진행을 위한 필요 역량 ]ㆍ원활한 커뮤니케이션 능력을 보유하신 분ㆍ주도적인 업무 능력이 있으신 분ㆍ사업 특성(야간 촬영)에 따른 야간 근무 또는 출장 업무에 문제가 없으신 분 *단, 야간 근무에 따른 근무 스케줄 조정(익일 오전 오프 or 데이 오프) 총괄 PM과 협의 예정[ 필수(자격) 조건 ]ㆍ라벨링 프로젝트 or 사업 '운영'에 참여 경력이 있으신 분ㆍ근무지(논산시 양촌면 거사리 부근)로 출퇴근이 문제 없이 가능하신 분 (자차 이용 추천)ㆍ사업 특성에 따른 보안지역 출입을 위한 신원 조사에 문제가 없으신 분*개인정보 보호를 위하여 아래의 서류를 공공신원조회 '사이트'에 직접 제출 필수**필요서류: 신원진술서, 개인신용정보서,병역관계증명서 등 ㆍ공식 문서 작성 능력 또는 보고서 작성 경험(파워포인트, 엑셀, 구글 스프레드시트 등)이 있으신 분ㆍ기본적인 OA 및 컴퓨터 활용 능력을 보유하고 계신 분 [ 우대 조건 ]ㆍ약 1년 11개월 연속적으로 근무가 가능하신 분 ㆍ데이터 수집 및 가공 사업 or 프로젝트 운영 PM 및 PMO 경력이 있으신 분ㆍ군 사업 경력이 있으신 분ㆍ공공 및 정부과제 사업 경력이 있으신 분우대사항","모집부문상세내용공통 자격요건ㆍ학력 : 대졸 이상 (4년)지능화 감시체계 사업[ 업무 안내 ]ㆍ데이터셋 구축 사업 제반사항 관리 업무(PMO)ㆍ데이터 및 프로젝트 산출물 작성 및 관리ㆍ프로젝트 일정 및 인력 관리ㆍ데이터 수집 및 가공 사업 운영 및 모니터링ㆍ일부 라벨링 작업 및 검수 백업  [ 업무 진행을 위한 필요 역량 ]ㆍ원활한 커뮤니케이션 능력을 보유하신 분ㆍ주도적인 업무 능력이 있으신 분ㆍ사업 특성(야간 촬영)에 따른 야간 근무 또는 출장 업무에 문제가 없으신 분 *단, 야간 근무에 따른 근무 스케줄 조정(익일 오전 오프 or 데이 오프) 총괄 PM과 협의 예정[ 필수(자격) 조건 ]ㆍ라벨링 프로젝트 or 사업 '운영'에 참여 경력이 있으신 분ㆍ근무지(논산시 양촌면 거사리 부근)로 출퇴근이 문제 없이 가능하신 분 (자차 이용 추천)ㆍ사업 특성에 따른 보안지역 출입을 위한 신원 조사에 문제가 없으신 분*개인정보 보호를 위하여 아래의 서류를 공공신원조회 '사이트'에 직접 제출 필수**필요서류: 신원진술서, 개인신용정보서,병역관계증명서 등 ㆍ공식 문서 작성 능력 또는 보고서 작성 경험(파워포인트, 엑셀, 구글 스프레드시트 등)이 있으신 분ㆍ기본적인 OA 및 컴퓨터 활용 능력을 보유하고 계신 분 [ 우대 조건 ]ㆍ약 1년 11개월 연속적으로 근무가 가능하신 분 ㆍ데이터 수집 및 가공 사업 or 프로젝트 운영 PM 및 PMO 경력이 있으신 분ㆍ군 사업 경력이 있으신 분ㆍ공공 및 정부과제 사업 경력이 있으신 분우대사항","모집부문상세내용공통 자격요건ㆍ학력 : 대졸 이상 (4년)지능화 감시체계 사업[ 업무 안내 ]ㆍ데이터셋 구축 사업 제반사항 관리 업무(PMO)ㆍ데이터 및 프로젝트 산출물 작성 및 관리ㆍ프로젝트 일정 및 인력 관리ㆍ데이터 수집 및 가공 사업 운영 및 모니터링ㆍ일부 라벨링 작업 및 검수 백업  [ 업무 진행을 위한 필요 역량 ]ㆍ원활한 커뮤니케이션 능력을 보유하신 분ㆍ주도적인 업무 능력이 있으신 분ㆍ사업 특성(야간 촬영)에 따른 야간 근무 또는 출장 업무에 문제가 없으신 분 *단, 야간 근무에 따른 근무 스케줄 조정(익일 오전 오프 or 데이 오프) 총괄 PM과 협의 예정[ 필수(자격) 조건 ]ㆍ라벨링 프로젝트 or 사업 '운영'에 참여 경력이 있으신 분ㆍ근무지(논산시 양촌면 거사리 부근)로 출퇴근이 문제 없이 가능하신 분 (자차 이용 추천)ㆍ사업 특성에 따른 보안지역 출입을 위한 신원 조사에 문제가 없으신 분*개인정보 보호를 위하여 아래의 서류를 공공신원조회 '사이트'에 직접 제출 필수**필요서류: 신원진술서, 개인신용정보서,병역관계증명서 등 ㆍ공식 문서 작성 능력 또는 보고서 작성 경험(파워포인트, 엑셀, 구글 스프레드시트 등)이 있으신 분ㆍ기본적인 OA 및 컴퓨터 활용 능력을 보유하고 계신 분 [ 우대 조건 ]ㆍ약 1년 11개월 연속적으로 근무가 가능하신 분 ㆍ데이터 수집 및 가공 사업 or 프로젝트 운영 PM 및 PMO 경력이 있으신 분ㆍ군 사업 경력이 있으신 분ㆍ공공 및 정부과제 사업 경력이 있으신 분우대사항"
14,"ㆍ근무형태:계약직-1년11개월2023.3.4 이전 근무 시작 권장 장기 계약(약 1년 11개월) 근무 가능인원 우대ㆍ근무일시:주 5일(월~금) 09:00~18:00사업 특성(야간 촬영)에 따른 야간 근무 또는 출장 업무에 문제가 없으신 분 우대 *단, 야간 근무에 따른 근무 스케줄 조정(익일 오전 오프 or 데이 오프) 총괄 PM과 협의 예정ㆍ근무지역:(33021) 충남 논산시 양촌면 황산벌로 1040 국방대학교",-,"ㆍ근무형태:계약직-1년11개월2023.3.4 이전 근무 시작 권장 장기 계약(약 1년 11개월) 근무 가능인원 우대ㆍ근무일시:주 5일(월~금) 09:00~18:00사업 특성(야간 촬영)에 따른 야간 근무 또는 출장 업무에 문제가 없으신 분 우대 *단, 야간 근무에 따른 근무 스케줄 조정(익일 오전 오프 or 데이 오프) 총괄 PM과 협의 예정ㆍ근무지역:(33021) 충남 논산시 양촌면 황산벌로 1040 국방대학교"
15,-,-,-
16,-,-,-
17,-,-,-
