,모집직종,직무내용,경력조건,학력,전공,자격면허,우대조건
0,데이터 분석가(빅데이터 분석가) 직업정보,"데이터수집, 정제 데이터 분석 인공지능 개발 논문연구",경력 (최소 1년 이상) 우대,학력무관,정보·통신공학(학과 : 데이터정보학과) 통계학(학과 : 데이터경영학과),우대 : 데이터분석준전문가 우대 : 빅데이터분석기사,-
1,데이터 분석가(빅데이터 분석가) 직업정보,"자료조사(문헌, 설문 등) 데이터분석(엑셀, R프로그램, 파이썬 등) 보고서 작성(아래한글, PPT 등) 지원 ※ 고용센터 채용대행건으로 구직신청 후 워크넷으로 입사지원 바랍니다. - 실업급여 구직활동을 위한 지원을 자제 부탁드리며, 실제 취업의사가 있는 분만 지원 바랍니다.",관계없음,대졸(4년) ~ 박사,-,-,-
2,IT개발·데이터,-,무관,학력무관,-,-,-
3,IT개발·데이터,-,경력 (최소 2년 이상),대졸(4년),-,-,-
4,데이터 분석가(빅데이터 분석가) 직업정보,"브래키츠(주)에서 아래와 같이 태블로(Tableau) 경력자를 모집합니다. [ 회사 소개 ] ‘디지털 해결소’를 표방하는 브래키츠(주)는 다양한 분야 유수의 고객사에 DT(Digital Transformation), Analytics, Cloud 등 ERP·BI 분야 전반에 걸쳐 실용적인 솔루션을 제공하는 IT 컨설팅 기업입니다. 2021년 창사 이래 급속한 성장과 함께 우리는 열정 있는 인재들을 찾아 함께 성장하고자 합니다. [ 직무 및 업무 내용 ] ▶   태블로(Tableau)를 이용한 데이터 시각화 및 분석 작업 수행 ▶   다양한 데이터 소스로부터의 데이터 추출 및 가공 ▶   리포트 및 대시보드 개발 및 유지보수 ▶   데이터 분석 결과에 대한 해석 및 비즈니스(고객사)에 제안 [ 자격 요건 ] ▶   태블로(Tableau) 경력 2년 이상 ✔  세일즈포스 태블로 신병훈련소 교육자료 생성/이해 가능 실력 ✔   태블로 장표 생성에 필요한 데이터셋(포맷) 구성 능력 필요 ▶   SQL 조회문(select) 작성 실력 ✔   서브쿼리, 피벗 사용 가능자 [ 우대 사항 ] ▶   태블로 구축 프로젝트 진행 경험 3회 이상 [ 지원 방법 ] ▶   접수: 워크넷 ▶   제출 서류: 이력서, 자기소개서, 포트폴리오(있을 경우) BI(Business Intelligence)는 비즈니스 의사결정 시 근거를 제공하고 의사결정 이후에도 기업활동을 모니터링하기 위한 필수 시스템으로서, 한 회사의 경영 노하우를 시스템에 녹여낸 회사 경영의 필수 요소입니다. 태블로(Tableau)는 이러한 BI 시장에서 최근 몇 년 동안 독보적인 입지를 유지하고 있으며, 많은 기업들이 본격적으로 태블로를 도입하고 Self-BI 환경을 구축함으로써 경영활동에 필요한 인사이트를 발굴하고 가시화하고자 노력하고 있습니다. 이에 브래키츠(주)는 열정 있고 도전적인 인재와 함께 다양한 태블로 프로젝트를 추진함으로써 자사의 성장뿐만 아니라 고객사, 나아가 비즈니스 업계의 성장에 일조하고자 합니다. 관심 있는 경력자 분들의 지원을 기대합니다. 감사합니다. 브래키츠(주)",경력 (최소 2년 이상) 필수,학력무관,-,-,-
5,데이터 분석가(빅데이터 분석가) 직업정보,"[공통 자격요건] ㆍ학력/성별 : 무관 ㆍ경력 : 경력 (1년 이상 또는 동등이상 개발이력) ㆍ수습 : 3개월 [담당업무] ㆍ인공지능 알고리즘 개발 [자격요건] ㆍLinux, Windows 환경에서 어플리케이션 설계 및 개발 ㆍPython 언어 개발 가능자 ㆍ인공지능 모델 개발에 필요한 기술 보유자 [우대사항] ㆍ인공지능 모델 서비스화 경험이 있으신 분 ㆍ인공지능 관련학과 석박사 우대 ㆍ열린 마음으로 목표를 위한 원활한 커뮤니케이션을 즐기시는 분 ㆍGit-hub 주소, 개발 포트폴리오 제출이 가능하신 분 [복리후생] ㆍ모든 임직원 통신비 제공 ㆍ모든 임직원 중식 제공 ㆍ명절(설/추석) 선물 지급 ㆍ경조금 지원 ㆍ야근시 식대 지원 ㆍ출퇴근시간 유연근무제 시행 ㆍ자율적인 휴가 사용(연차, 반차 등) * 회사 성장에 따라 복리후생 추가 예정",경력 (최소 1년 이상) 우대,학력무관,-,-,-
6,데이터 분석가(빅데이터 분석가) 직업정보,"○ 데이터기반행정 활성화 (시행계획 수립, 역량강화, 데이터 공유 등) ○ 데이터기반행정 실태 점검 대응 ○ 공공데이터 품질관리",경력 (최소 5년 이상) 필수,대졸(4년) ~ 박사,-,-,-
7,"데이터엔지니어,데이터사이언티스트",-,경력 (연수무관),대졸(2~3년),-,-,-
8,"웹기획,콘텐츠마케터,백엔드개발자,프론트엔드개발자,웹개발자,앱개발자,시스템엔지니어,DBA,데이터엔지니어,데이터사이언티스트,머신러닝엔지니어,웹퍼블리셔,그래픽디자이너,편집디자이너,물류관리자,자재관리자,유통관리자,영업관리,영업지원,학교·특수학교교사,학원강사,학습지·방문교사,교재개발·교수설계,출판·편집,작가",-,"신입, 경력 (연수무관)",학력무관,-,-,-
9,기타 연극·영화·방송 종사원,"드라마 제작 현장에서 함께 일할 스텝 모집합니다. 안녕하세요 저희 회사는 마포구 상암동에 소재하고 있으며 스텝 분들은   촬영 현장에 따라 상암동 또는 여의도, 일산에서 스텝 버스를 타고 현장 근무 합니다. 주요 업무는 현장 데이터 매니저이며 촬영 된 데이터를 복제 및 변환 / 가공 하는 업무입니다. 처음 접하시는 분들을 위해 사내에서 사전 교육과 현장에서 서포터분이 함께 참가해 교육을 시켜 드리기에 기존의 경험 및 기초 지식은 필요치 않습니다. 데이터 매니저의 역할을 하다가 촬영 현장에 익숙해 지시면 촬영 / 편집 / 제작 / 연출 등의 타 업무로의 전환도 가능합니다. 드라마 촬영 스텝 분야의 관심 있는 분들의 많은 지원 바랍니다",관계없음,학력무관,연극·영화(학과 : 영화(편집)) 전산학·컴퓨터공학(학과 : 영화영상ㆍ멀티미디어공학부),-,-
10,데이터 전문가,국립금오공과대학교에서는 2024년 국립대학 육성사업 업무 추진을 위해 참신하고 유능한 인재를 다음과 같이 모집합니다. 1. 채용분야 및 인원 ◎ 전문계약직(데이터 관리 및 분석) 1명 - 학생 역량 관리 시스템 고도화 2. 접수기간: 2024.2.9.(금) ~ 2.16.(금) 18:00 3. 접수방법: 이메일 접수 * 기타 자세한 사항은 붙임파일 참조 바랍니다. 2024년 2월 8일 국립금오공과대학교총장,관계없음,석사 ~ 박사,-,-,-
11,"DBA,MySQL","공공기관 데이터 표준 품질 업무 (가) 데이터 사업 수행 경력 최소 3년 이상 + PM 수행경험 보유 (나) 데이터관리체계 구축 컨설팅, 데이터 표준 수립, 데이터 품질진단, 데이터 개발 등 데이터 관련 사업 유경험자 (다) 빅데이터 분석 및 플랫폼 구축 사업 유경험자, 빅데이터 분석기술 보유자 (R, 파이썬 등) (라) KS_META_DQ 솔루션의 고도화 및 유지관리를 위한 개발인력 (마) 데이터 관련 자격증 소지자 우대 (DAP, ADP, 빅데이터분석기사, DQC-V 등)",경력 (최소 1년 이상),대졸(4년),-,-,-
12,"설문·리서치,데이터엔지니어,데이터사이언티스트",-,"신입, 경력 (연수무관)",대졸(2~3년),-,-,-
13,"자동차,전기·전자,일반사무","ㆍ자동차 데이터 비교 업무로, 자동차 전장에 대한 이해도가 있는 분과 엑셀등 기본적인 문서 작성을 할 수 있는 분을 모집하고 있습니다. ㆍ새로운 프로젝트인 만큼 데이터 분석에 대해 같이 배우고 업무에 실행할 예정입니다. 부담 없이 지원해 주세요.","신입, 경력 (최소 1년 이상)",대졸(2~3년),-,-,-
14,데이터엔지니어,-,경력 (최소 8년 이상),대졸(4년),-,-,-
15,"기획·전략,IT개발·데이터",-,무관,대졸(4년),-,-,-
16,IT개발·데이터,-,무관,대졸(4년),-,-,-
